title,description,date,order,presenter,editor,url,urlTvNews,containsWordGlobalWarming,media,month,day,label,label_1,label_2,label_3,Commentaires,nb_label
"Indonésie : le dragon Komodo, une espace rare menacée par l'homme et le dérèglement climatique","Les dragons de Komodo sont emblématiques de l'archipel du même nom, où ils vivent depuis des millénaires en cohabitation avec l'homme. Certains habitants dénoncent la création d'un parc animalier où ils seraient enfermés, d'autant plus que leur habitat est déjà menacé par le réchauffement climatique.Posé sur des eaux turquoise aux confins de l'Océan Indien, l'archipel de Komodo en Indonésie, offre des paysages paradisiaques, entre îles verdoyantes et baies bordées de sable blanc. Elles ont donné leur nom au dragon de Komodo, dernier reptile survivant des dinosaures. L'espèce peuple ces terres depuis des millénaires. Les habitants disent même qu'ils sont faits du même sang que l'animal, et parlent le même langage. Les dragons de Komodo attirent les touristes du monde entier. Avant la pandémie, ils étaient près de 200 000 chaque année à venir les observer. Une espèce en danger Rares, les dragons de Komodo sont désormais en danger. Il y a trois mois, ils ont été placés sur la liste rouge des espaces menacées. À cause du réchauffement climatique et de la montée des eaux, 30% de leur habitat pourrait disparaître d'ici la fin du siècle. Gregorius Afioma, militant écologiste originaire de l'archipel, se bat depuis six ans pour la protection des dragons de Komodo. \Les dragons de Komodo ne sont pas censés vivre sur les collines, mais plutôt sur les plaines près de la mer. Avec la montée des eaux cet habitat risque de disparaître, et les dragons de Komodo auront moins d'endroits où aller\"", détaille-t-il. Plusieurs habitants dénoncent également un vaste projet touristique de parc animalier, où les Komodo seront enfermés dans des enclos.""",02/01/2022 01:00,7.0,Leïla Kaddour,Thomas Horeau,https://www.francetvinfo.fr/monde/environnement/biodiversite/indonesie-le-dragon-komodo-une-espace-rare-menacee-par-l-homme-et-le-dereglement-climatique_4901845.html,https://www.francetvinfo.fr/replay-jt/france-2/13-heures/jt-de-13h-du-dimanche-2-janvier-2022_4881647.html,True,France 2,1.0,2.0,1,perte_biodiversite,hausse_niveau_mer_fonte_glace,,hausse de la mer comme cause d'un impact sur la biodiversité,2
Montagne : plus de 150 stations de ski fantômes à démanteler,"La France offre l’un des plus vastes domaines skiables au monde avec 350 stations de sport d’hiver. Mais combien en restera-t-il dans 20 ans ? Avec le réchauffement climatique, la neige est plus rare en moyenne altitude, les saisons sont de plus en plus courtes et certains sites ne sont plus rentables.Il faut grimper à 1 200 mètres d’altitude, à travers les sapins du Massif central, pour le trouver. À quelques encablures d’une petite station de ski, à Chalmazel (Loire), se trouve un village vacances fantôme. Cela fait 20 ans que la résidence a fermé, et que le bâtiment rempli d’amiante est abandonné. \Il y a eu énormément de souvenirs et d’ambiance\"", se souvient le maire Valéry Gouttefarde, entre dépit et nostalgie. Dans les années 70, chaque bout de montagne devenait un eldorado. Des stations de ski trop petites ou trop peu enneigées Face à la concurrence des grosses stations des Alpes, la résidence difficile à chauffer est devenue passée de mode, impossible à rentabiliser. La seule solution aujourd’hui, c’est une coûteuse démolition, estimée à plus d’un million d’euros. \""On construisait sans se soucier du recyclage et du devenir de ces bâtiments\"", concède le maire. Et c’est loin d’être le seul site en France à démanteler. Villages vacances vides, remontées mécaniques désaffectées... Il y aurait en tout plus de 150 stations de ski fantômes, trop petites pour survivre ou trop peu enneigées. Le site de Moutainwilderness Le site d'Installations obsolètes""",10/01/2022 01:00,10.0,Carole Gaessler,Philippe Denis,https://www.francetvinfo.fr/sports/sport-et-loisirs/montagne-plus-de-150-stations-de-ski-fantomes-a-demanteler_4911839.html,https://www.francetvinfo.fr/replay-jt/france-3/19-20/jt-de-19-20-du-lundi-10-janvier-2022_4889913.html,True,France 3,1.0,10.0,1,rechauffement_climatique_canicule,hausse_niveau_mer_fonte_glace,,,2
Éoliennes en mer : la France en retard par rapport aux autres pays européens,"Le projet d'installation d'éoliennes à Saint-Brieuc rencontre pas mal d'opposants. Pourtant, la France compte énormément sur la production d'énergie éolienne en mer. Sur le plateau du 19/20, le journaliste Simon Ricottier fait le point.Le projet de Saint-Brieuc fait partie des plus avancés. Les éoliennes devraient y être mises en service dès 2024. Dans des délais plus rapprochés, le projet de Saint-Nazaire devait voir le jour avant la fin de l'année 2022. \En tout, 12 projets ou chantiers importants sont attendus d’ici 2030 (...) Ils sont répartis sur les littoraux de la Manche et de la Mer du Nord, sur la façade atlantique et en Méditerranée\"", explique notre journaliste Simon Ricottier sur le plateau du 19/20 de France 3. 15 millions de foyers possiblement alimentés par ces nouvelles éoliennes Pour l'heure en France, une seule éolienne fonctionne actuellement en mer. Il s'agit d'un mât de démonstration, qui se trouve au large du Croisic (Loire-Atlantique). Par rapport à ses voisins européens qui comptabilisent plus de 5 400 éoliennes installées en mer, la France est en retard. \""Le gouvernement veut donc accélérer la cadence et prévoit une capacité de production de 10 gigawatts en 2028. C’est l’équivalent de la puissance de 6 réacteurs nucléaires de type EPR\"", explique Simon Ricottier. 15 millions de foyers pourraient théoriquement être alimentés par ces nouvelles installations. Parmi nos sources : RTE France Energie Eolienne Ministère de la Transition écologique Article Les Echos Article Challenges Liste non exhaustive.""",18/01/2022 01:00,7.0,Carole Gaessler,Philippe Denis,https://www.francetvinfo.fr/economie/energie/eoliennes-en-mer-la-france-en-retard-par-rapport-aux-autres-pays-europeens_4921661.html,https://www.francetvinfo.fr/replay-jt/france-3/19-20/jt-de-19-20-du-mardi-18-janvier-2022_4897403.html,True,France 3,1.0,18.0,1,energies_renouvelables_et_nucleaires,activisme_eco,,,2
Tahiti : un récif corallien résiste au réchauffement climatique,"Une équipe de chercheurs a découvert à 30 mètres de profondeur un immense récif corallien au large de Tahiti. Un signal encourageant quand on connaît la vulnérabilité des récifs face à l'activité humaine.Au large de Tahiti, dans des eaux peu explorées, une équipe de chercheurs est partie en mission. Dans les eaux profondes, ils ont trouvé un immense récif de corail. Leur bonne santé a été une découverte inattendue pour les plongeurs venus photographier le site, situé à 30 mètres de profondeur. \L'arrivée sur cet endroit magnifique a été du domaine du merveilleux\"", confie Alexis Rosenfeld, du projet One Ocean/ Unesco. Un récif long de trois kilomètres Ces coraux sauraient-ils s'adapter à leur milieu et résister au réchauffement climatique qui a déjà détruit 14% des récifs ? Ils sont indispensables à la survie de nombreuses espèces sous-marines. En mesurant cette colonie longue de trois kilomètres de coraux parfois plus longs qu'eux, c'est une découverte synonyme d'espoir. Une preuve aussi, qu'en ne connaissant que 20% des fonds marins, la nature nous cache peut-être d'autres belles surprises.""",20/01/2022 01:00,10.0,Carole Gaessler,Philippe Denis,https://www.francetvinfo.fr/monde/environnement/biodiversite/tahiti-un-recif-corallien-resiste-au-rechauffement-climatique_4924183.html,https://www.francetvinfo.fr/replay-jt/france-3/19-20/jt-de-19-20-du-jeudi-20-janvier-2022_4899643.html,True,France 3,1.0,20.0,1,perte_biodiversite,rechauffement_climatique_canicule,acidification_ocean,biodiversité car ils parlent des coraux et ne parlent pas d'acification malgré blancheur,3
Immobilier : les ventes de logements mal isolés explosent,"À partir du 1er janvier 2023, les logements mal isolés ne pourront plus être loués. Résultat, de très nombreux propriétaires s'empressent de les vendre pour éviter d'avoir à payer les travaux de rénovation souvent très onéreux.  Marcel est propriétaire de quatre appartements dans cette maison. Il les a mis en location il y a 20 ans, après les avoir rénovés. Mais aujourd'hui, avec le nouveau diagnostic énergétique, ces logements obtiennent la note F, devenant des passoires thermiques. En cause, une chaudière au fioul notamment. Elle consomme trop d'énergie. Pour être mieux noté, il faudra la changer. Un chauffagiste est venu faire un devis et la facture est salée. Beaucoup trop pour ce retraité, qui envisage donc de se séparer de ces logements. Selon la nouvelle réglementation, les propriétaires de logement très énergivores ne pourront plus les louer. Cela sera le cas à compter de 2023 pour ceux étiquetés G, 2028 pour les F et 2034 pour les E. Conséquence, partout en France, beaucoup de propriétaires veulent s'en séparer. Les mises en vente explosent, notamment à Rennes qui enregistre un bon de 74% en un an. Les logements anciens y sont nombreux. Et ces derniers mois, diagnostiqueurs et agents immobiliers ne chôment pas. Le gouvernement le rappelle : tous les propriétaires, quel que soit leur revenu, ont accès à des aides financières. Le dispositif Ma Prime Rénov permet ainsi de financer une partie des travaux pour rendre un logement moins énergivore et surtout moins polluant.",24/01/2022 01:00,0.0,,,https://www.tf1info.fr/immobilier/video-le-grand-format-pourquoi-les-ventes-de-logements-mal-isoles-explosent-elles-2208113.html,https://www.tf1info.fr/emission/le-20h-11001/extraits/16.html,False,TF1,1.0,24.0,1,solution_innovante,solution_innovante,,rénovation solution,2
Transport maritime : vers des cargos aux carburants moins polluants,"Le transport maritime concentre 90 % des échanges mondiaux de marchandises. C’est un véritable enjeu écologique, car les 50 000 navires qui parcourent les mers sont responsables de 3 % des émissions de gaz à effet de serre. Les transporteurs tentent de faire des progrès en essayant des technologies vertes.Pour la première fois, le port de Fos-sur-Mer (Bouches-du-Rhône) va accueillir le plein d’un cargo au GNL, le gaz naturel liquéfié. \On sait qu’on est pionnier quelque part, on sait qu’on est en train d’avancer vers quelque chose (…) et aussi faire l’histoire du secteur maritime\"", se réjouit Farid Trad, directeur de la transition énergétique de CMA-CGM. Le GNL ne peut être transféré qu’à une température de -161°. Pour un cargo, cela représente 6 000 m3 de gaz liquéfié. L’opération de remplissage dure 15 heures. Cela réclame la stabilité parfaite des deux navires. Un virage écologique Le GNL émet 20 % de moins de monoxyde de carbone. Le groupe CMA-CGM s’est ainsi fixé l’objectif d’en faire son carburant de prédilection. \""On en aura 44 fin 2024 et l’idée, à chaque fois qu’il y a de nouvelles constructions, évidemment la priorité sera donnée à la solution GNL\"", affirme Farid Trad. Ce virage écologique est encouragé par les grands groupes mondiaux de la distribution comme IKEA, Amazon ou Michelin.""",03/02/2022 01:00,9.0,Carole Gaessler,Philippe Denis,https://www.francetvinfo.fr/economie/energie/transport-maritime-vers-des-cargos-aux-carburants-moins-polluants_4941228.html,https://www.francetvinfo.fr/replay-jt/france-3/19-20/jt-de-19-20-du-jeudi-3-fevrier-2022_4916361.html,True,France 3,2.0,3.0,1,transport_decarbone,gaz_effet_de_serre,gaz_effet_de_serre,,3
Industrie : le bilan carbone est-il sur la bonne voie en France ?,"La France veut privilégier les industries vertes et ainsi réduire les émissions de gaz à effet de serre. Mais le bilan de ces dernières années va-t-il dans le bon sens ? Pour y répondre, le journaliste Olivier Poncelet est présent sur le plateau du 19/20, vendredi 4 février.Réduire les émissions de gaz à effet de serre, tel est l’objectif de l’État car l’industrie pollue beaucoup. \Les industries françaises ont émis en 2019 : 78 millions de tonnes de CO2\"", précise le journaliste Olivier Poncelet, présent sur le plateau du 19/20. Il ajoute : \""Le CO2 représente à lui seul plus de 90 % des émissions de GES de ces usines.\"" Malgré tout, il y a quelques progrès. \""En 1990 l’industrie manufacturière était à l’origine de 26 % du total de CO2 rejeté par notre pays. En 2019, seulement 18 %\"", détaille Olivier Poncelet. La neutralité carbone d’ici 2050 Des efforts ont été réalisés par les industries pour décarbonater leur production, ce qui explique ces chiffres, mais ce n’est pas tout. \""Une des raisons, c’est qu’on a fermé des usines : on les a délocalisées et parfois, c’est vrai, elles étaient polluantes\"", rapporte le journaliste. Cependant, ces produits polluants sont désormais importés par bateau oui par avion, ce qui pollue également. Les plus grands pollueurs restent les transports comme la voiture ou les avions, suivi par l’agriculture. Tous les secteurs devront continuer leur effort pour atteindre la neutralité carbone d’ici 2050.""",04/02/2022 01:00,7.0,Catherine Matausch,Philippe Denis,https://www.francetvinfo.fr/meteo/particules-fines/industrie-le-bilan-carbone-est-il-sur-la-bonne-voie-en-france_4943472.html,https://www.francetvinfo.fr/replay-jt/france-3/19-20/jt-de-19-20-du-vendredi-4-fevrier-2022_4917749.html,True,France 3,2.0,4.0,1,gaz_effet_de_serre,engagement_politique_et_entreprises,gaz_effet_de_serre,,3
Golfe de Gascogne : un navire lituanien a-t-il rejeté volontairement 100 000 poissons morts ?,"Des poissons morts par dizaines de milliers flottant à la surface de l’eau. Cette nappe morbide de 3 000 mètres carrés a été découverte dans le golfe de Gascogne par l’association de défense des océans Sea Shepherd. Il s’agit d’un banc de merlans bleu asphyxiés, sortis du filet géant d’un gigantesque chalutier lituanien. Le navire aurait-il rejeté volontairement du poisson jugé peu rentable ? C’est la question posée par l’association dont les membres suivent et surveillent ces chalutiers-usines. Le capitaine du navire dément L’ONG dénonce un gaspillage \inutile\"" et \""choquant\"" des ressources marines. De son côté, le capitaine du navire dément et affirme que son filet s’est rompu accidentellement à cause d’un volume de poissons trop élevé. Ces chalutiers sont suivis 24h/24 par le centre de surveillance des pêches. Ce dernier confirme que le navire lituanien a bien déclaré un incident et ne serait donc pas en infraction. Pour autant, ce chalutier n’est pas à sa première polémique. Déjà en 2019, il avait été accusé de rejet de poissons. Il a été interdit de pêche dans les eaux australiennes.""",04/02/2022 01:00,4.0,Laurent Delahousse,Elsa Pallot,https://www.francetvinfo.fr/animaux/bien-etre-animal/golfe-de-gascogne-un-navire-lituanien-a-t-il-rejete-volontairement-100-000-poissons-morts_4943337.html,https://www.francetvinfo.fr/replay-jt/france-2/20-heures/jt-de-20h-du-vendredi-4-fevrier-2022_4917745.html,False,France 2,2.0,4.0,1,perte_biodiversite,activisme_eco,peche_et_chasse,,3
Lacs du Médoc : des travaux à l’enjeu écologique important,"Dans le Médoc, des lacs sont de véritables trésors de la biodiversité, avec une faune et une flore exceptionnelle. Depuis plusieurs années, ils font l'objet d'importants travaux.Situé entre l’estuaire de la Gironde et le bassin d’Arcachon, le lac de Carcans-Hourtin (Gironde) constitue, avec le lac de Lacanau, un attrait touristique majeur pour le Médoc. Il est entouré et alimenté par des zones humides, plus de 11 000 hectares sont essentiels à son fonctionnement. Le syndicat des lacs du Médoc, en partenariat avec la Nouvelle-Aquitaine, le département de la Gironde et l’agence de l’eau Adour-Garonne, a entrepris, depuis plusieurs années, de restaurer ces zones typiques du territoire médocain. Une solution pour s’adapter au changement climatique Les marais sont des aires d’accueil pour les oiseaux migrateurs, notamment les grues cendrées. Ils sont aussi des réservoirs pour différentes espèces de poissons, qui les utilisent comme zone de reproduction. Ces travaux sont un enjeu écologique important, ils sont une des solutions pour s’adapter au changement climatique. Plus de 1 000 hectares ont déjà été reconnectés.",05/02/2022 01:00,12.0,Catherine Matausch,Pierre-Yves Grenu,https://www.francetvinfo.fr/culture/patrimoine/lacs-du-medoc-des-travaux-a-lenjeu-ecologique-important_4944912.html,https://www.francetvinfo.fr/replay-jt/france-3/12-13/jt-de-12-13-du-samedi-5-fevrier-2022_4922051.html,True,France 3,2.0,5.0,1,perte_biodiversite,engagement_politique_et_entreprises,,,2
Italie : les arabesques et le cauchemar des étourneaux à Rome,"En Italie, le ciel de Rome fait parler de lui en ce moment avec le ballet incessant des étourneaux.Chaque soir au crépuscule, le ballet recommence : dans le ciel de Rome (Italie), des nuées d'étourneaux volent en escadrille. Ils seraient entre 500 000 et un million en ce début d'année 2022. Par réflexe, les oiseaux forment la masse la plus compacte possible pour décourager les prédateurs, à l'image des bancs de poissons face à un requin. Sauf que, chaque soir, ce sont des tonnes de déjections qui tombent du ciel. Des haut-parleurs pour les faire fuir Pour disperser les oiseaux, une brigade spécialisée protégée par une tenue complète se sert de haut-parleurs qui diffusent trois fois par semaine des bruits stridents. \C'est un cri que les étourneaux utilisent naturellement pour s'avertir du danger. C'est une méthode perturbante mais inoffensive\"", explique Valentina Di Tommaso, ornithologue. L'objectif, c'est que les étourneaux retournent s'installer un peu plus loin, dans les campagnes environnantes comme autrefois, avant que le réchauffement climatique ne perturbe les couloirs migratoires.""",07/02/2022 01:00,11.0,Emilie Tran NGuyen,Pierre-Yves Grenu,https://www.francetvinfo.fr/sante/environnement-et-sante/italie-les-arabesques-et-le-cauchemar-des-etourneaux-a-rome_4948389.html,https://www.francetvinfo.fr/replay-jt/france-3/12-13/jt-de-12-13-du-lundi-7-fevrier-2022_4922049.html,True,France 3,2.0,7.0,1,perte_biodiversite,solution_innovante,,,2
